"Feature","Gain","Cover","Frequency"
"f106",0.000979162989826652,0.005852704879186,0.00144545970781064
"f412",0.000958173610471571,0.00201110541796057,0.000412988487945899
"f379",0.000950787992537456,0.00278424687255613,0.00129058902483093
"f81",0.000944867780754258,8.7322254501033e-05,0.000103247121986475
"f51",0.000938804053089423,0.00245406803398844,0.000412988487945899
"f25",0.000912185672024896,0.00245624178188609,0.00351040214754014
"f176",0.000895868097948445,0.00159002626600261,0.00366527283051985
"f405",0.000883387121219198,0.000958334545518977,0.00170357751277683
"f227",0.000842850878785162,0.00228208895115,0.000309741365959424
"f411",0.000829453398735841,0.00103851383307846,0.00154870682979712
"f413",0.000779928338803833,0.00249932184151867,0.00309741365959424
"f369",0.000769790849255747,0.00170350759763887,0.0012389654638377
"f304",0.000762419764575468,0.00148395905997606,5.16235609932373e-05
"f140",0.000730594027828432,0.00260702002632276,0.000309741365959424
"f47",0.000701501587380306,0.00191116078589399,0.000516235609932373
"f130",0.000697975002504005,0.00536375318732651,0.00227143668370244
"f372",0.000691918359800415,0.000714475404109173,0.00118734190284446
"f29",0.000689934207320366,0.00300308811322715,0.000825976975891797
"f77",0.00068550351780617,0.00256907443056699,0.000258117804966187
"f145",0.000635356934190554,0.00199042314878184,0.000206494243972949
"f207",0.000634800174319355,0.00172046638265402,0.000412988487945899
"f67",0.000630281422370193,0.00421064192021585,0.00113571834185122
"f371",0.000603133712951085,0.00133368539910763,0.000825976975891797
"f82",0.00059803767290968,0.00208820833288994,0.000258117804966187
"f364",0.000593765577527976,0.000750002738721524,0.00175520107377007
"f308",0.000592261612837974,0.000362891010153259,0.00247793092767539
"f347",0.000566281695781059,0.000750156659495452,0.00206494243972949
"f366",0.00055130426937402,0.00247416384851857,0.00252955448866863
"f432",0.000544933890053232,0.00133233240486207,0.00165195395178359
"f357",0.000539927592854268,0.00215904300305033,0.000877600536885034
"f114",0.000537563486619227,0.000568173237063791,0.000154870682979712
"f187",0.000521870660792079,0.000935973762050591,0.000619482731918848
"f368",0.000498173055000956,0.000642671873783751,0.000722729853905322
"f118",0.000480797505461615,0.00110345527830342,0.00170357751277683
"f68",0.000458797747049959,0.00536339364599854,0.00170357751277683
"f116",0.000425775242265892,0.000980727935991537,0.000309741365959424
"f404",0.000410810169124615,0.000686885557166324,0.000980847658871509
"f381",0.000399595402135887,0.000792549772049698,0.000258117804966187
"f179",0.000398646153578262,0.00122520268192596,0.00149708326880388
"f313",0.000395893600718017,0.00113468775975372,0.00103247121986475
"f83",0.000378535127751934,0.00183488758172148,0.00056785917092561
"f420",0.000370574833169625,0.00253328938276501,0.00330390790356719
"f253",0.000365068660163307,0.00136268049007381,0.000361364926952661
"f373",0.000358289578494781,0.00214870006132579,0.000619482731918848
"f358",0.000347993358564948,0.00113351901472453,0.00314903722058748
"f370",0.000337951902033229,0.00100423397173189,0.000258117804966187
"f58",0.000336598333812227,0.00099196485962815,0.00118734190284446
"f317",0.0003345890887611,0.00189440738571961,0.00077435341489856
"f421",0.000332184788995916,0.00100037888098518,0.00201331887873626
"f393",0.000331109305503795,0.00037528744671547,0.000309741365959424
"f248",0.000324586327017721,0.000716944815035049,0.00129058902483093
"f407",0.000309357202820799,0.000807789342948296,0.00149708326880388
"f389",0.000287464627156189,0.00188008246093091,0.000722729853905322
"f318",0.000287323404803673,0.000562469054181495,0.000929224097878272
"f340",0.000286466056368356,0.00113483657340651,0.00134221258582417
"f323",0.000283216239144807,0.0014900288341606,0.00113571834185122
"f34",0.000281290151555477,0.00172376856860943,0.00139383614681741
"f400",0.000274079250582329,0.00226470053939068,0.000516235609932373
"f403",0.000267449566221602,0.0011215331514161,0.0012389654638377
"f342",0.000267284681915183,0.000532659534536319,0.00144545970781064
"f63",0.000265804946884311,0.000926787072551234,0.0012389654638377
"f50",0.000262664129064537,0.00166518580348311,0.000825976975891797
"f397",0.000249896461195153,0.00086359925558217,0.000722729853905322
"f428",0.000244448829951946,0.000445307531054669,0.00237468380568892
"f354",0.000242255057993512,0.00072424147685863,0.00077435341489856
"f265",0.000238179297787859,0.00163645565424725,0.000361364926952661
"f361",0.000229024051825249,0.00103605982208709,0.00144545970781064
"f384",0.000226012239341484,0.00178651434460141,0.000877600536885034
"f173",0.000223656330769935,0.000886179173832835,0.000516235609932373
"f425",0.000212529331009454,0.00122006043951081,0.00361364926952661
"f263",0.000206805386277678,0.000337393786453095,5.16235609932373e-05
"f426",0.000201714455583325,0.00122992315470638,0.00314903722058748
"f37",0.000201317675045375,0.00213459120704669,0.000619482731918848
"f282",0.00019356495620263,0.000694220247399595,5.16235609932373e-05
"f89",0.000189092426813131,0.00225747341298564,0.00129058902483093
"f149",0.000185396257031123,0.00105383401791991,0.000619482731918848
"f84",0.000181243277560358,0.000255596307561684,0.000103247121986475
"f144",0.000180582979609678,0.000270859273003638,0.000206494243972949
"f111",0.000178019631547819,0.000638387431291703,0.000619482731918848
"f343",0.000160421416663954,0.000186170338552785,0.000619482731918848
"f48",0.00015931955758694,0.000471056182256911,0.000877600536885034
"f333",0.000155435874768126,0.00134906914796445,0.00356202570853337
"f316",0.000149904461587372,0.000483672146456873,0.000929224097878272
"f169",0.00014928793370977,0.0026177220379487,0.00077435341489856
"f394",0.000149130486341838,0.00340467691950841,0.000877600536885034
"f197",0.000147260056573061,0.000335152074558788,0.000671106292912085
"f167",0.000146995494582711,0.00020326791940619,0.000412988487945899
"f375",0.000144066498937606,0.000625093555689264,0.00077435341489856
"f212",0.000136026430416658,0.000881438665423346,0.000671106292912085
"f314",0.000134522091041205,0.00079456653490074,0.000877600536885034
"f93",0.000133668409981661,0.000130196418580739,0.000309741365959424
"f258",0.000126001471398865,0.000614905988303901,0.00191007175674978
"f416",0.000124788024182236,0.00238709827596156,0.00180682463476331
"f178",0.000119623961700413,0.0002137252410014,0.00077435341489856
"f352",0.000118384536292551,0.0012169083243457,0.00201331887873626
"f199",0.000117356955767568,0.000670901446577199,0.000154870682979712
"f395",0.000116194692854295,0.000607962346407455,0.00077435341489856
"f330",0.000115432480461085,0.000512769340560225,0.000309741365959424
"f315",0.000111930363680111,0.000644677283111652,0.000619482731918848
"f429",0.000111218381845474,0.000435837867758832,0.00237468380568892
"f418",0.000109147983587188,7.66339682631436e-05,0.000154870682979712
"f310",9.98325879797601e-05,0.000707363148644146,0.00170357751277683
"f185",9.60661817069452e-05,0.00073993526725395,0.00170357751277683
"f61",9.33578019904911e-05,0.000215251209511276,0.000258117804966187
"f146",8.98834857345316e-05,0.000638744772629032,0.000206494243972949
"f163",8.93750829946536e-05,0.00083815023524842,0.000154870682979712
"f174",8.72837591216634e-05,0.0019688992260399,0.00118734190284446
"f430",8.70578294720785e-05,0.000525585307480982,0.00154870682979712
"f125",8.60576804637117e-05,0.00043499644990891,0.000309741365959424
"f267",8.44021328007822e-05,0.000946305782393007,0.000361364926952661
"f132",8.18857793776972e-05,0.00147894166702991,0.000516235609932373
"f113",8.13328344856307e-05,0.000343033894607908,0.000619482731918848
"f322",8.02796220696033e-05,0.000690908318628475,0.00108409478085798
"f380",7.9647368757186e-05,0.00112071593346325,0.000929224097878272
"f156",7.67394747154056e-05,0.000272675306351263,0.000206494243972949
"f120",7.67072120272987e-05,0.00105098455861043,0.000722729853905322
"f387",7.62112306778091e-05,0.000328871336985789,0.000103247121986475
"f353",7.57997068350883e-05,0.000128945360508779,0.000206494243972949
"f410",7.47945904059766e-05,0.000421496285898125,0.00149708326880388
"f277",7.25289299345216e-05,0.000491301203295311,0.000103247121986475
"f246",7.23536339142215e-05,0.000621888208607696,0.000103247121986475
"f321",7.00705562463716e-05,0.000485472720941675,0.00139383614681741
"f112",7.00630341521007e-05,0.000158036337674287,0.000206494243972949
"f100",6.70575402275235e-05,0.00102709855305756,0.000258117804966187
"f152",6.40876754830552e-05,0.00163075563563295,0.00103247121986475
"f311",6.07049414344757e-05,0.00157527847158386,0.000877600536885034
"f269",6.04107225230154e-05,0.000213200327162491,0.000309741365959424
"f408",6.00099737255219e-05,0.001268149956409,0.0012389654638377
"f355",5.70547557759359e-05,0.000119059673089486,0.000103247121986475
"f70",5.63795555630208e-05,0.000706758779786027,0.000206494243972949
"f180",5.5864062184845e-05,3.96120199182751e-05,5.16235609932373e-05
"f57",5.50917162533156e-05,2.66359693033739e-05,0.000103247121986475
"f278",5.49722370110319e-05,8.95898162853974e-05,0.000154870682979712
"f319",5.4179726189804e-05,0.000516911608656958,0.00077435341489856
"f215",5.36503297105947e-05,0.000182154491346942,0.000309741365959424
"f345",5.15115570346488e-05,3.32926425542592e-05,0.000103247121986475
"f159",5.1171092855316e-05,0.000535289387636958,0.000206494243972949
"f388",5.03278973113328e-05,0.000411244722356374,0.00077435341489856
"f65",4.83471283544423e-05,0.00137094664063118,0.00056785917092561
"f289",4.59077727914301e-05,7.05446004119416e-05,0.000309741365959424
"f73",4.33937838606197e-05,0.000133147872992142,0.000825976975891797
"f204",4.30207050159387e-05,0.000975043317311747,0.000361364926952661
"f396",4.29666566397075e-05,7.04530159800324e-05,0.000103247121986475
"f383",3.93692902755802e-05,6.92540259901922e-05,0.000103247121986475
"f435",3.92765045331168e-05,0.000388243859467465,0.000258117804966187
"f53",3.85114876760807e-05,0.000189200550664937,5.16235609932373e-05
"f121",3.82594038466421e-05,0.000262065026478032,0.000980847658871509
"f276",3.80953909677484e-05,0.000131325475385871,0.000258117804966187
"f291",3.7684363867102e-05,0.000183100153396358,5.16235609932373e-05
"f91",3.64111401284916e-05,0.000161974095033685,0.000154870682979712
"f391",3.62712263365262e-05,0.000179916491936845,0.000103247121986475
"f359",3.60975454375998e-05,0.00127512761958933,0.00056785917092561
"f406",3.59253689575275e-05,0.00099774250648371,0.00103247121986475
"f90",3.55554351998095e-05,0.000377844660839337,0.000412988487945899
"f350",3.4515260134343e-05,0.000289247639438609,0.000361364926952661
"f390",3.34787354134925e-05,0.000572312362316747,0.000412988487945899
"f189",3.27591548443789e-05,0.000287251913998093,0.000361364926952661
"f334",3.06460452832645e-05,0.000826672569778567,0.000516235609932373
"f123",3.02807553543115e-05,0.00170773456537536,0.000206494243972949
